"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Especie","metadata_Especie_Juan","HierarchicalSubject"
"18","henry","Desconocida",2016-12-21 18:53:10,2016-12-21,"18:53:10",41458,691,11.5,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e4.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"19","henry","Desconocida",2016-12-24 06:53:40,2016-12-24,"06:53:40",216029,3600,60,2.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e7.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"20","henry","Desconocida",2016-12-25 07:40:44,2016-12-25,"07:40:44",86039,1434,23.9,1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e16.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"21","henry","Desconocida",2016-12-26 08:10:18,2016-12-26,"08:10:18",88173,1470,24.5,1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e19.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"22","henry","Desconocida",2016-12-27 00:51:44,2016-12-27,"00:51:44",60083,1001,16.7,0.7,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e22.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"23","henry","Desconocida",2016-12-27 05:21:37,2016-12-27,"05:21:37",16191,270,4.5,0.2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e25.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"24","henry","Gente",2016-12-19 18:52:06,2016-12-19,"18:52:06",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Gente","e28.JPG","Gente","Gente","Especie_Juan, Especie, Especie_Juan|Gente, Especie|Gente"
"25","henry","Lagarto Overo",2016-12-20 11:06:52,2016-12-20,"11:06:52",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Lagarto Overo","e36.JPG","Lagarto Overo","Lagarto Overo","Especie_Juan, Especie_Juan|Lagarto Overo, Especie, Especie|Lagarto Overo"
"26","henry","Lagarto Overo",2016-12-22 10:53:20,2016-12-22,"10:53:20",171987,2866,47.8,2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Lagarto Overo","e39.JPG","Lagarto Overo","Lagarto Overo","Especie_Juan, Especie_Juan|Lagarto Overo, Especie, Especie|Lagarto Overo"
"27","henry","Lagarto Overo",2016-12-24 12:14:50,2016-12-24,"12:14:50",177689,2961,49.4,2.1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Lagarto Overo","e42.JPG","Lagarto Overo","Lagarto Overo","Especie_Juan, Especie_Juan|Lagarto Overo, Especie, Especie|Lagarto Overo"
"28","henry","Rabo Molle",2016-12-23 21:03:23,2016-12-23,"21:03:23",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Rabo Molle","e45.JPG","Rabo Molle","Rabo Molle","Especie_Juan|Rabo Molle, Especie_Juan, Especie, Especie|Rabo Molle"
"29","henry","Rabo Molle",2016-12-23 23:32:43,2016-12-23,"23:32:43",8959,149,2.5,0.1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Rabo Molle","e48.JPG","Rabo Molle","Rabo Molle","Especie_Juan|Rabo Molle, Especie_Juan, Especie, Especie|Rabo Molle"
"30","henry","Tamandua",2016-12-25 05:18:38,2016-12-25,"05:18:38",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Tamandua","e51.JPG","Tamandua","Tamandua","Especie_Juan, Especie, Especie_Juan|Tamandua, Especie|Tamandua"
"31","henry","Tatu",2016-12-20 01:48:28,2016-12-20,"01:48:28",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Tatu","e54.JPG","Tatu","Tatu","Especie_Juan, Especie, Especie_Juan|Tatu, Especie|Tatu"
"32","henry","Tatu",2016-12-20 21:05:16,2016-12-20,"21:05:16",69407,1157,19.3,0.8,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Tatu","e57.JPG","Tatu","Tatu","Especie_Juan, Especie, Especie_Juan|Tatu, Especie|Tatu"
"33","henry","Tatu",2016-12-22 21:33:58,2016-12-22,"21:33:58",174521,2909,48.5,2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Tatu","e60.JPG","Tatu","Tatu","Especie_Juan, Especie, Especie_Juan|Tatu, Especie|Tatu"
"34","henry","Zorro Gris",2016-12-20 00:52:39,2016-12-20,"00:52:39",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e63.JPG","Zorro Gris","Zorro Perro","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Perro"
"35","henry","Zorro Gris",2016-12-20 18:37:08,2016-12-20,"18:37:08",63866,1064,17.7,0.7,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e66.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"36","henry","Zorro Gris",2016-12-21 06:57:30,2016-12-21,"06:57:30",44391,740,12.3,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e72.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"37","henry","Zorro Gris",2016-12-21 18:57:36,2016-12-21,"18:57:36",43204,720,12,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e75.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"38","henry","Zorro Gris",2016-12-22 02:18:59,2016-12-22,"02:18:59",26235,437,7.3,0.3,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e88.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"39","henry","Zorro Gris",2016-12-22 07:20:13,2016-12-22,"07:20:13",18073,301,5,0.2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e91.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"40","henry","Zorro Gris",2016-12-23 17:20:43,2016-12-23,"17:20:43",122429,2040,34,1.4,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e94.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"41","henry","Zorro Gris",2016-12-23 18:27:37,2016-12-23,"18:27:37",4013,67,1.1,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e97.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"42","henry","Zorro Gris",2016-12-24 06:33:36,2016-12-24,"06:33:36",43558,726,12.1,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e100.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"43","henry","Zorro Gris",2016-12-24 18:24:48,2016-12-24,"18:24:48",33910,565,9.4,0.4,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e124.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"44","henry","Zorro Gris",2016-12-25 05:57:34,2016-12-25,"05:57:34",40837,681,11.3,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e130.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
"45","henry","Zorro Gris",2016-12-25 07:25:24,2016-12-25,"07:25:24",5269,88,1.5,0.1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Zorro Gris","e133.JPG","Zorro Gris","Zorro Gris","Especie_Juan, Especie, Especie|Zorro Gris, Especie_Juan|Zorro Gris"
